Polarization of Light 'Brewsters' Data File Thu, Oct 25, 2018 10:15 AM
Sensor Position (Degrees)	Light Intensity (Volts)
219.45000	-0.00231
219.45000	-0.00102
219.45000	-0.00102
219.45000	-0.00102
219.45000	-0.00295
219.45000	-0.00182
219.45000	-0.00247
219.45000	-0.00086
219.45000	-0.00166
219.45000	-0.00102
219.45000	-0.00086
219.45000	-0.00215
219.45000	-0.00134
219.45000	-0.00166
219.45000	0.00172
219.45000	0.00204
219.45000	0.00220
219.45000	0.00269
219.45000	0.00172
219.45000	0.00285
219.45000	0.00204
219.45000	0.00108
219.45000	0.00236
219.45000	0.00301
219.45000	0.00059
219.45000	-0.00005
219.45000	-0.00215
219.45000	-0.00102
219.45000	-0.00215
219.45000	0.00027
219.45000	-0.00408
219.45000	-0.00134
219.45000	-0.00070
219.45000	0.00172
219.45000	0.00140
219.45000	0.00285
219.45000	0.00140
219.45000	0.00124
219.45000	0.00381
219.45000	0.00027
219.45000	0.00027
219.45000	-0.00134
219.45000	-0.00118
219.45000	-0.00070
219.45000	-0.00166
219.45000	-0.00182
219.45000	-0.00118
219.45000	-0.00198
219.45000	-0.00182
219.45000	-0.00215
219.45000	-0.00150
219.45000	-0.00102
219.45000	-0.00037
219.45000	-0.00182
219.45000	-0.00198
219.45000	0.00236
219.45000	0.00124
219.45000	0.00317
219.45000	0.00220
219.45000	0.00043
219.45000	0.00381
219.45000	0.00349
219.45000	0.00140
219.45000	0.00204
219.45000	0.00204
219.45000	0.00204
219.45000	0.00027
219.45000	-0.00134
219.45000	-0.00150
219.45000	-0.00198
219.45000	0.00011
219.45000	0.00027
219.45000	-0.00102
219.45000	-0.00118
219.45000	-0.00198
219.45000	0.00027
219.45000	0.00011
219.45000	0.00253
219.45000	0.00188
219.45000	0.00220
219.45000	0.00236
219.45000	0.00220
219.45000	0.00220
219.45000	0.00075
219.45000	-0.00086
219.45000	-0.00182
219.45000	-0.00150
219.45000	-0.00215
219.45000	-0.00053
219.45000	-0.00118
219.45000	-0.00166
219.45000	-0.00215
219.45000	-0.00215
219.45000	-0.00021
219.45000	-0.00360
219.45000	-0.00134
219.45000	-0.00102
219.45000	-0.00118
219.45000	-0.00005
219.45000	0.00011
219.45000	-0.00086
219.45000	-0.00198
219.45000	0.00027
219.45000	-0.00150
219.45000	-0.00102
219.45000	-0.00005
219.45000	-0.00343
219.45000	-0.00198
219.45000	0.00043
219.45000	-0.00343
219.45000	-0.00021
219.45000	-0.00182
219.45000	-0.00311
219.45000	-0.00005
219.45000	-0.00150
219.45000	-0.00295
219.45000	-0.00150
219.45000	-0.00166
219.46667	-0.00005
219.76667	-0.00070
220.56667	-0.00118
221.51667	-0.00102
222.50000	-0.00118
223.51667	-0.00037
224.51667	-0.00360
225.46667	-0.00102
226.26667	-0.00021
226.75000	-0.00295
227.05000	-0.00150
227.30000	0.00059
227.56667	-0.00070
227.91667	-0.00150
228.28333	-0.00263
228.40000	-0.00150
228.40000	-0.00295
228.40000	-0.00102
228.38333	-0.00166
228.38333	-0.00070
228.38333	-0.00263
228.38333	-0.00118
228.38333	0.00011
228.38333	-0.00247
228.38333	-0.00198
228.38333	0.00027
228.38333	-0.00198
228.38333	-0.00005
228.38333	-0.00376
228.38333	-0.00150
228.38333	-0.00053
228.38333	-0.00086
228.38333	-0.00037
228.38333	-0.00231
228.38333	-0.00102
228.38333	-0.00263
228.38333	-0.00182
228.38333	0.00011
228.38333	-0.00102
228.38333	-0.00102
228.38333	-0.00263
228.38333	0.00027
228.38333	-0.00053
228.38333	-0.00053
228.38333	-0.00118
228.38333	-0.00231
228.38333	-0.00182
228.38333	-0.00279
228.38333	-0.00150
228.38333	-0.00021
228.38333	-0.00070
228.38333	0.00140
228.38333	0.00011
228.38333	0.00124
228.38333	0.00301
228.38333	0.00027
228.38333	0.00172
228.38333	0.00011
228.38333	0.00043
228.38333	0.00124
228.38333	0.00188
228.38333	0.00092
228.38333	-0.00021
228.38333	0.00075
228.38333	0.00011
228.38333	0.00027
228.38333	-0.00215
228.38333	-0.00134
228.38333	-0.00118
228.38333	-0.00021
228.38333	-0.00037
228.38333	-0.00102
228.38333	-0.00150
228.38333	0.00011
228.38333	0.00043
228.38333	0.00108
228.38333	0.00236
228.38333	0.00236
228.38333	0.00075
228.38333	0.00027
228.38333	0.00043
228.38333	-0.00021
228.38333	-0.00053
228.38333	-0.00134
228.38333	-0.00053
228.38333	-0.00053
228.38333	-0.00182
228.38333	-0.00134
228.38333	-0.00150
228.38333	-0.00198
228.38333	0.00236
228.38333	0.00092
