Polarization of Light 'Brewsters' Data File Thu, Oct 25, 2018 10:06 AM
Sensor Position (Degrees)	Light Intensity (Volts)
210.08333	-0.00102
210.08333	-0.00134
210.08333	-0.00086
210.08333	-0.00021
210.08333	-0.00166
210.08333	-0.00215
210.08333	-0.00311
210.08333	-0.00150
210.08333	-0.00231
210.08333	-0.00070
210.08333	-0.00053
210.08333	-0.00198
210.08333	-0.00053
210.08333	-0.00102
210.08333	-0.00118
210.08333	-0.00215
210.08333	-0.00231
210.08333	-0.00166
210.08333	-0.00150
210.08333	-0.00134
210.08333	-0.00166
210.08333	-0.00150
210.08333	-0.00247
210.08333	-0.00070
210.08333	0.00575
210.08333	-0.00102
210.08333	-0.00215
210.08333	-0.00150
210.08333	-0.00231
210.08333	-0.00134
210.08333	-0.00086
210.08333	-0.00166
210.08333	-0.00392
210.08333	-0.00037
210.08333	0.07598
210.08333	0.07582
210.08333	0.07163
210.08333	0.06728
210.08333	0.07244
210.08333	0.07260
210.08333	0.06937
210.08333	0.00301
210.08333	0.00027
210.08333	0.00011
210.08333	-0.00005
210.08333	-0.00311
210.08333	-0.00215
210.08333	-0.00311
210.08333	-0.00231
210.08333	-0.00134
210.08333	0.03072
210.08333	0.07050
210.08333	0.07244
210.08333	0.07695
210.08333	0.07356
210.08333	-0.00021
210.08333	0.00059
210.08333	0.00027
210.08333	0.00059
210.08333	0.00027
210.08333	-0.00037
210.08333	-0.00134
210.08333	-0.00086
210.08333	0.01847
210.08333	0.06921
210.08333	0.07276
210.08333	0.06261
210.08333	0.07195
210.08333	0.07147
210.08333	0.06245
210.08333	0.00301
210.08333	-0.00247
210.08333	-0.00150
210.06667	-0.00166
210.06667	-0.00182
210.06667	-0.00182
210.06667	-0.00053
210.06667	0.00027
210.06667	0.00027
210.06667	0.00011
210.06667	-0.00037
210.06667	-0.00118
210.06667	-0.00198
210.06667	0.03023
210.06667	0.05826
210.06667	0.06084
210.06667	0.06744
210.06667	0.07211
210.06667	-0.00118
210.06667	-0.00086
210.06667	-0.00102
210.06667	-0.00102
210.06667	-0.00408
210.06667	-0.00150
210.06667	-0.00037
210.06667	-0.00166
210.06667	-0.00118
210.06667	-0.00053
210.06667	-0.00021
210.06667	0.00929
210.06667	0.07131
210.06667	0.00816
210.06667	0.00027
210.06667	-0.00102
210.06667	-0.00053
210.06667	-0.00311
210.06667	-0.00295
210.06667	-0.00263
210.06667	-0.00150
210.06667	-0.00182
210.06667	-0.00086
210.06667	-0.00086
210.06667	0.00011
210.06667	0.06422
210.06667	0.06599
210.06667	0.06519
210.06667	0.06454
210.06667	0.06454
210.06667	0.06889
210.06667	0.05939
210.06667	0.03506
210.06667	-0.00247
210.06667	-0.00279
210.06667	-0.00182
210.06667	-0.00198
210.06667	-0.00215
210.06667	-0.00118
210.06667	-0.00182
210.06667	-0.00311
210.06667	-0.00118
210.06667	-0.00134
210.06667	-0.00118
210.06667	-0.00182
210.06667	-0.00215
210.06667	-0.00166
210.06667	-0.00150
210.06667	-0.00021
210.06667	-0.00102
210.06667	-0.00005
210.06667	-0.00005
210.06667	-0.00215
210.06667	-0.00198
210.06667	-0.00231
210.06667	-0.00198
210.08333	-0.00021
210.08333	-0.00102
210.08333	-0.00263
210.08333	-0.00279
210.08333	-0.00327
210.08333	-0.00247
210.08333	-0.00021
210.08333	-0.00134
210.08333	0.00043
210.08333	-0.00037
210.08333	-0.00231
210.08333	-0.00166
210.08333	-0.00247
210.08333	0.00043
210.08333	-0.00086
210.08333	-0.00102
210.08333	-0.00376
210.08333	-0.00198
210.06667	-0.00086
210.06667	-0.00182
210.06667	-0.00134
210.06667	-0.00037
210.06667	-0.00150
210.08333	-0.00182
210.11667	-0.00150
210.76667	-0.00182
211.73333	-0.00166
212.71667	0.05005
213.51667	0.05536
214.18333	0.00381
214.73333	-0.00150
215.11667	-0.00263
215.36667	-0.00182
215.71667	-0.00327
216.05000	-0.00198
216.21667	-0.00311
216.31667	-0.00182
216.46667	-0.00134
216.65000	-0.00134
216.81667	-0.00198
217.05000	-0.00198
217.30000	-0.00215
217.60000	-0.00198
217.80000	-0.00198
218.01667	-0.00279
218.15000	-0.00215
218.30000	-0.00086
218.46667	-0.00118
218.55000	-0.00053
218.71667	-0.00053
218.83333	-0.00102
218.86667	-0.00231
218.88333	-0.00295
218.91667	-0.00118
218.95000	-0.00215
219.01667	0.00011
219.11667	-0.00150
219.25000	-0.00102
219.35000	-0.00005
219.38333	0.00011
219.45000	0.00011
219.53333	-0.00021
219.58333	-0.00005
219.63333	-0.00053
219.65000	-0.00086
219.65000	-0.00182
219.65000	-0.00150
219.65000	-0.00118
219.65000	-0.00247
219.65000	-0.00263
219.65000	-0.00279
219.65000	-0.00215
219.65000	-0.00424
219.65000	-0.00279
219.65000	-0.00053
219.65000	-0.00102
219.65000	-0.00021
219.65000	-0.00005
219.65000	-0.00215
219.65000	-0.00118
219.63333	-0.00021
219.63333	-0.00102
219.63333	-0.00053
219.63333	-0.00198
219.63333	-0.00053
219.63333	-0.00198
219.63333	-0.00086
219.63333	-0.00263
219.63333	-0.00070
219.63333	-0.00053
219.63333	-0.00005
219.63333	-0.00070
219.63333	-0.00166
219.63333	-0.00182
219.63333	-0.00086
219.63333	-0.00086
219.63333	-0.00053
219.63333	-0.00102
219.63333	-0.00037
219.63333	-0.00037
219.63333	-0.00263
219.63333	-0.00086
219.63333	-0.00231
219.63333	-0.00037
219.63333	-0.00198
219.63333	-0.00118
219.63333	-0.00198
219.63333	-0.00070
219.63333	-0.00166
219.63333	-0.00295
219.63333	-0.00053
219.63333	-0.00005
219.63333	0.00011
219.63333	-0.00021
219.63333	-0.00118
219.63333	-0.00070
219.63333	-0.00215
219.63333	-0.00053
219.63333	-0.00102
219.63333	-0.00102
219.63333	-0.00005
219.63333	-0.00053
219.63333	-0.00215
219.63333	-0.00005
219.63333	-0.00086
219.63333	0.00059
219.63333	-0.00021
219.63333	-0.00086
219.63333	-0.00070
219.63333	-0.00118
219.63333	-0.00053
219.63333	-0.00263
219.63333	-0.00086
219.63333	-0.00166
219.63333	-0.00005
219.63333	-0.00086
219.63333	0.01364
219.63333	0.05697
219.63333	0.06551
219.63333	0.07308
219.63333	0.07968
219.63333	0.06954
219.63333	0.00027
219.63333	-0.00037
219.63333	-0.00118
219.63333	-0.00086
219.63333	0.00011
219.63333	-0.00150
219.63333	-0.00005
219.63333	-0.00053
219.63333	-0.00247
219.63333	0.00011
219.63333	-0.00150
219.63333	-0.00166
219.63333	-0.00182
219.63333	-0.00263
219.63333	-0.00134
219.63333	-0.00070
219.63333	0.00961
219.63333	0.06084
219.63333	0.06132
219.63333	0.05858
219.63333	0.05456
219.63333	-0.00053
219.63333	-0.00231
219.63333	-0.00102
219.63333	-0.00215
219.63333	-0.00053
219.63333	-0.00166
219.63333	-0.00086
219.63333	-0.00053
219.63333	-0.00166
219.63333	-0.00231
219.63333	-0.00231
219.63333	0.04682
219.63333	0.06535
219.63333	0.06873
219.63333	0.06486
219.63333	0.06438
219.63333	0.06132
219.63333	0.06019
219.63333	0.06309
219.63333	0.06374
219.63333	0.04715
219.63333	-0.00102
219.63333	-0.00327
219.63333	-0.00166
219.63333	-0.00102
219.63333	-0.00150
219.63333	-0.00215
219.63333	-0.00037
219.63333	0.00011
219.63333	-0.00102
219.63333	0.05617
219.63333	0.08806
219.63333	0.06325
219.63333	0.06535
219.63333	0.06132
219.63333	0.06100
219.63333	0.05842
219.63333	0.05907
219.63333	0.05166
219.63333	0.03877
219.63333	0.01896
219.63333	0.01396
219.63333	0.00639
219.63333	0.00317
219.63333	-0.00086
219.63333	0.00108
219.63333	-0.00070
219.63333	0.00043
219.63333	0.00011
219.63333	0.00027
219.63333	-0.00070
219.63333	-0.00086
219.63333	-0.00118
219.63333	-0.00053
219.63333	-0.00005
219.63333	0.00188
219.63333	0.00317
219.63333	0.01284
219.63333	0.03200
219.63333	0.05697
219.63333	0.06857
219.63333	0.07034
219.63333	0.09628
219.63333	0.06631
219.63333	0.07324
219.63333	0.06809
219.63333	0.01670
219.63333	0.00333
219.63333	0.00140
219.63333	-0.00118
219.63333	-0.00279
219.63333	-0.00102
219.63333	-0.00070
219.63333	-0.00247
219.63333	0.00027
219.63333	0.00011
219.63333	-0.00134
219.63333	0.00059
